fecha,hotel,"hab bamboo","hab rategain",disponibilidad
2021-12-21,bhparque93,1,ESTANDAR,0
2021-12-21,bhparque93,2,TWIN,1
2021-12-21,bhparque93,3,"ESPECIAL ESTANDAR",0
2021-12-22,bhparque93,1,ESTANDAR,17
2021-12-22,bhparque93,2,TWIN,3
2021-12-22,bhparque93,3,"ESPECIAL ESTANDAR",0
2021-12-23,bhparque93,1,ESTANDAR,35
2021-12-23,bhparque93,2,TWIN,4
2021-12-23,bhparque93,3,"ESPECIAL ESTANDAR",0
2021-12-24,bhparque93,1,ESTANDAR,38
2021-12-24,bhparque93,2,TWIN,5
2021-12-24,bhparque93,3,"ESPECIAL ESTANDAR",0
2021-12-25,bhparque93,1,ESTANDAR,50
2021-12-25,bhparque93,2,TWIN,6
2021-12-25,bhparque93,3,"ESPECIAL ESTANDAR",2
2021-12-26,bhparque93,1,ESTANDAR,51
2021-12-26,bhparque93,2,TWIN,6
2021-12-26,bhparque93,3,"ESPECIAL ESTANDAR",2
2021-12-27,bhparque93,1,ESTANDAR,51
2021-12-27,bhparque93,2,TWIN,6
2021-12-27,bhparque93,3,"ESPECIAL ESTANDAR",2
2021-12-28,bhparque93,1,ESTANDAR,51
2021-12-28,bhparque93,2,TWIN,6
2021-12-28,bhparque93,3,"ESPECIAL ESTANDAR",2
2021-12-29,bhparque93,1,ESTANDAR,51
2021-12-29,bhparque93,2,TWIN,6
2021-12-29,bhparque93,3,"ESPECIAL ESTANDAR",2
2021-12-30,bhparque93,1,ESTANDAR,51
2021-12-30,bhparque93,2,TWIN,6
2021-12-30,bhparque93,3,"ESPECIAL ESTANDAR",2
2021-12-31,bhparque93,1,ESTANDAR,51
2021-12-31,bhparque93,2,TWIN,6
2021-12-31,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-01-01,bhparque93,1,ESTANDAR,51
2022-01-01,bhparque93,2,TWIN,6
2022-01-01,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-01-02,bhparque93,1,ESTANDAR,51
