fecha,hotel,"hab bamboo","hab rategain",disponibilidad
2022-02-05,bhparque93,1,ESTANDAR,5
2022-02-05,bhparque93,2,TWIN,1
2022-02-05,bhparque93,3,"ESPECIAL ESTANDAR",0
2022-02-06,bhparque93,1,ESTANDAR,17
2022-02-06,bhparque93,2,TWIN,3
2022-02-06,bhparque93,3,"ESPECIAL ESTANDAR",0
2022-02-07,bhparque93,1,ESTANDAR,32
2022-02-07,bhparque93,2,TWIN,6
2022-02-07,bhparque93,3,"ESPECIAL ESTANDAR",1
2022-02-08,bhparque93,1,ESTANDAR,35
2022-02-08,bhparque93,2,TWIN,6
2022-02-08,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-09,bhparque93,1,ESTANDAR,40
2022-02-09,bhparque93,2,TWIN,6
2022-02-09,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-10,bhparque93,1,ESTANDAR,41
2022-02-10,bhparque93,2,TWIN,6
2022-02-10,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-11,bhparque93,1,ESTANDAR,43
2022-02-11,bhparque93,2,TWIN,6
2022-02-11,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-12,bhparque93,1,ESTANDAR,45
2022-02-12,bhparque93,2,TWIN,6
2022-02-12,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-13,bhparque93,1,ESTANDAR,46
2022-02-13,bhparque93,2,TWIN,6
2022-02-13,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-14,bhparque93,1,ESTANDAR,46
2022-02-14,bhparque93,2,TWIN,6
2022-02-14,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-15,bhparque93,1,ESTANDAR,47
2022-02-15,bhparque93,2,TWIN,6
2022-02-15,bhparque93,3,"ESPECIAL ESTANDAR",2
2022-02-05,EKhotel,1,SUPERIOR,5
2022-02-05,EKhotel,2,TWIN,1
2022-02-05,EKhotel,3,"JUNIOR SUITE",0
2022-02-05,EKhotel,4,"ESPECIAL TWIN",0
2022-02-06,EKhotel,1,SUPERIOR,17
2022-02-06,EKhotel,2,TWIN,3
2022-02-06,EKhotel,3,"JUNIOR SUITE",0
2022-02-06,EKhotel,4,"ESPECIAL TWIN",0
2022-02-07,EKhotel,1,SUPERIOR,32
2022-02-07,EKhotel,2,TWIN,6
2022-02-07,EKhotel,3,"JUNIOR SUITE",1
2022-02-07,EKhotel,4,"ESPECIAL TWIN",0
2022-02-08,EKhotel,1,SUPERIOR,35
2022-02-08,EKhotel,2,TWIN,6
2022-02-08,EKhotel,3,"JUNIOR SUITE",2
2022-02-08,EKhotel,4,"ESPECIAL TWIN",0
2022-02-09,EKhotel,1,SUPERIOR,40
2022-02-09,EKhotel,2,TWIN,6
2022-02-09,EKhotel,3,"JUNIOR SUITE",2
2022-02-09,EKhotel,4,"ESPECIAL TWIN",0
2022-02-10,EKhotel,1,SUPERIOR,41
2022-02-10,EKhotel,2,TWIN,6
2022-02-10,EKhotel,3,"JUNIOR SUITE",2
2022-02-10,EKhotel,4,"ESPECIAL TWIN",0
2022-02-11,EKhotel,1,SUPERIOR,43
2022-02-11,EKhotel,2,TWIN,6
2022-02-11,EKhotel,3,"JUNIOR SUITE",2
2022-02-11,EKhotel,4,"ESPECIAL TWIN",0
2022-02-12,EKhotel,1,SUPERIOR,45
2022-02-12,EKhotel,2,TWIN,6
2022-02-12,EKhotel,3,"JUNIOR SUITE",2
2022-02-12,EKhotel,4,"ESPECIAL TWIN",0
2022-02-13,EKhotel,1,SUPERIOR,46
2022-02-13,EKhotel,2,TWIN,6
2022-02-13,EKhotel,3,"JUNIOR SUITE",2
2022-02-13,EKhotel,4,"ESPECIAL TWIN",0
2022-02-14,EKhotel,1,SUPERIOR,46
2022-02-14,EKhotel,2,TWIN,6
2022-02-14,EKhotel,3,"JUNIOR SUITE",2
2022-02-14,EKhotel,4,"ESPECIAL TWIN",0
2022-02-15,EKhotel,1,SUPERIOR,47
2022-02-15,EKhotel,2,TWIN,6
2022-02-15,EKhotel,3,"JUNIOR SUITE",2
2022-02-15,EKhotel,4,"ESPECIAL TWIN",0
2022-02-05,bhusaquen,1,ESTANDAR,5
2022-02-05,bhusaquen,2,"TWIN ESTANDAR",1
2022-02-05,bhusaquen,3,SUPERIOR,0
2022-02-05,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-05,bhusaquen,5,"ESPECIAL ESTANDAR",0
2022-02-05,bhusaquen,6,"TWIN JUNIOR",0
2022-02-05,bhusaquen,7,"TWIN COCINA",0
2022-02-06,bhusaquen,1,ESTANDAR,17
2022-02-06,bhusaquen,2,"TWIN ESTANDAR",3
2022-02-06,bhusaquen,3,SUPERIOR,0
2022-02-06,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-06,bhusaquen,5,"ESPECIAL ESTANDAR",0
2022-02-06,bhusaquen,6,"TWIN JUNIOR",0
2022-02-06,bhusaquen,7,"TWIN COCINA",0
2022-02-07,bhusaquen,1,ESTANDAR,32
2022-02-07,bhusaquen,2,"TWIN ESTANDAR",6
2022-02-07,bhusaquen,3,SUPERIOR,1
2022-02-07,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-07,bhusaquen,5,"ESPECIAL ESTANDAR",0
2022-02-07,bhusaquen,6,"TWIN JUNIOR",0
2022-02-07,bhusaquen,7,"TWIN COCINA",0
2022-02-08,bhusaquen,1,ESTANDAR,35
2022-02-08,bhusaquen,2,"TWIN ESTANDAR",6
2022-02-08,bhusaquen,3,SUPERIOR,2
2022-02-08,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-08,bhusaquen,5,"ESPECIAL ESTANDAR",0
2022-02-08,bhusaquen,6,"TWIN JUNIOR",0
2022-02-08,bhusaquen,7,"TWIN COCINA",0
2022-02-09,bhusaquen,1,ESTANDAR,40
2022-02-09,bhusaquen,2,"TWIN ESTANDAR",6
2022-02-09,bhusaquen,3,SUPERIOR,2
2022-02-09,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-09,bhusaquen,5,"ESPECIAL ESTANDAR",0
2022-02-09,bhusaquen,6,"TWIN JUNIOR",0
2022-02-09,bhusaquen,7,"TWIN COCINA",0
2022-02-10,bhusaquen,1,ESTANDAR,41
2022-02-10,bhusaquen,2,"TWIN ESTANDAR",6
2022-02-10,bhusaquen,3,SUPERIOR,2
2022-02-10,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-10,bhusaquen,5,"ESPECIAL ESTANDAR",0
2022-02-10,bhusaquen,6,"TWIN JUNIOR",0
2022-02-10,bhusaquen,7,"TWIN COCINA",0
2022-02-11,bhusaquen,1,ESTANDAR,43
2022-02-11,bhusaquen,2,"TWIN ESTANDAR",6
2022-02-11,bhusaquen,3,SUPERIOR,2
2022-02-11,bhusaquen,4,"ESTANDAR COCINA",0
2022-02-11,bhusaquen,5,"ESPECIAL ESTANDAR",0
2022-02-11,bhusaquen,6,"TWIN JUNIOR",0
2022-02-11,bhusaquen,7,"TWIN COCINA",0
2022-02-12,bhusaquen,1,ESTANDAR,45
2022-02-12,bhusaquen,2,"TWIN ESTANDAR",6
2022-02-12,bhusaquen,3,SUPERIOR,2
